# alloced.
# 16 9 ms. 7.11111e+06 B/s
64 0.00711111 
# 32 9 ms. 1.42222e+07 B/s
128 0.0142222 
# 64 9 ms. 2.84444e+07 B/s
256 0.0284444 
# 128 9 ms. 5.68889e+07 B/s
512 0.0568889 
# 256 9 ms. 1.13778e+08 B/s
1024 0.113778 
# 512 9 ms. 2.27556e+08 B/s
2048 0.227556 
# 1024 9 ms. 4.55111e+08 B/s
4096 0.455111 
# 2048 10 ms. 8.192e+08 B/s
8192 0.8192 
# 4096 11 ms. 1.48945e+09 B/s
16384 1.48945 
# 8192 14 ms. 2.34057e+09 B/s
32768 2.34057 
# 16384 19 ms. 3.44926e+09 B/s
65536 3.44926 
# 32768 30 ms. 4.36907e+09 B/s
131072 4.36907 
# 65536 50 ms. 5.24288e+09 B/s
262144 5.24288 
# 131072 92 ms. 5.69878e+09 B/s
524288 5.69878 
# 262144 90 ms. 5.96523e+09 B/s
1048576 5.96523 
# 524288 98 ms. 5.47827e+09 B/s
2097152 5.47827 
# 1048576 98 ms. 5.47827e+09 B/s
4194304 5.47827 
# 2097152 94 ms. 5.71139e+09 B/s
8388608 5.71139 
# 4194304 92 ms. 5.83555e+09 B/s
16777216 5.83555 
# 8388608 92 ms. 5.83555e+09 B/s
33554432 5.83555 
# 16777216 92 ms. 5.83555e+09 B/s
67108864 5.83555 
# 33554432 96 ms. 5.59241e+09 B/s
134217728 5.59241 
# done.
